pairs,Ks
ONI23381-ONI24232,4.4382
ONI23381-ONI18885,5.0545
ONI23381-ONI05194,4.5042
ONI23381-ONI22888,4.5058
ONI23381-ONI04225,3.8699
ONI23381-ONI20060,2.3135
ONI23381-ONI29870,2.2049
ONI23381-ONI10744,4.2434
ONI23381-ONI26284,3.6344
ONI23381-ONH97838,3.0903
ONI23381-ONI24744,2.4676
ONI23381-ONI18127,4.4739
ONI23381-ONI10516,5.4818
ONI23381-ONH89643,4.5259
ONI23381-ONH96168,4.4633
ONI23381-ONI04721,4.4643
ONI23381-ONI09895,2.3226
ONI23381-ONH89667,4.4453
ONI23381-ONI25090,1.9283
ONI23381-ONI30726,1.945
ONI23381-ONI27137,4.4565
ONI23381-ONI29728,4.5234
ONI23381-ONI35714,3.192
ONI23381-ONH96536,4.4319
ONI23381-ONI34983,4.4415
ONI23381-ONI22333,4.4428
ONI23381-ONH96513,4.4798
ONI23381-ONI30433,4.4729
ONI28332-ONH95022,2.3633
ONI28332-ONI26822,2.0654
ONI28332-ONI02697,2.7179
ONI28332-ONI10925,2.7375
ONI28332-ONH96035,4.4855
ONI28332-ONI18700,4.4679
ONI28332-ONI29058,4.4655
ONI28332-ONI06014,2.9466
ONI28332-ONI00160,1.8657
ONI28332-ONH99244,2.1617
ONI28332-ONI11309,4.4202
ONI28332-ONI32305,4.4733
ONI28332-ONI09643,4.4593
ONI28332-ONH95363,4.5167
ONI28332-ONI17055,4.6865
ONI28332-ONI17510,2.5964
ONI28332-ONI11044,2.1205
ONI28332-ONH95429,2.4646
ONI28332-ONI30926,1.7961
ONI28332-ONI26865,4.4331
ONI28332-ONI20050,2.3197
ONI28332-ONI04921,2.6918
ONI28332-ONH94307,3.3136
ONI28332-ONI12073,4.5107
ONI28332-ONH92574,2.8744
ONI28332-ONI01448,4.4304
ONI28332-ONI25472,3.8264
ONI28332-ONI20524,4.4768
ONI28332-ONH98763,4.4863
ONI28332-ONH89632,1.7769
ONI28332-ONI35771,2.1502
ONI28332-ONI16883,4.0797
ONI28332-ONI03115,4.4714
ONI28332-ONI01193,4.4738
ONI28332-ONH98211,2.756
ONI28332-ONH96339,2.2327
ONI28332-ONH97837,3.4129
ONI28332-ONH96891,4.3353
ONI28332-ONI19701,2.9193
ONI28332-ONI19129,2.1897
ONI28332-ONI11923,3.8791
ONI28332-ONH92343,2.4231
ONI28332-ONI14197,4.3598
ONI28332-ONI08253,4.478
ONI28332-ONH89725,4.372
ONI28332-ONI22031,2.683
ONI28332-ONH92510,2.8598
ONI28332-ONI17874,3.6194
ONI28332-ONH96390,4.4587
ONI28332-ONI08659,1.874
ONI28332-ONI07181,4.464
ONI28332-ONI34876,4.4685
ONI28332-ONI11936,4.4586
ONI28332-ONI08378,2.9917
ONI28332-ONI30925,4.4948
ONI28332-ONI04516,2.8788
ONI28332-ONI17179,4.4441
ONI28332-ONI23179,4.5188
ONI28332-ONI26052,3.0601
ONI28332-ONH96625,1.8906
ONI28332-ONI08665,4.4584
ONI28332-ONH93475,4.4932
ONI28332-ONH96897,2.913
ONI28332-ONI19087,4.4489
ONI28332-ONI32985,2.2712
ONI28332-ONH94185,4.1297
ONI28332-ONI02303,2.3168
ONI28332-ONH91625,4.7242
ONI28332-ONI09527,4.4739
ONI28332-ONI25428,4.5073
ONI28332-ONI09497,3.0452
ONI28332-ONI29838,4.4969
ONI28332-ONI20969,2.2085
ONI28332-ONI21063,4.4937
ONI28332-ONI33045,4.5034
ONI28332-ONI35496,2.7419
ONI28332-ONI26704,4.5224
ONI28332-ONI05188,4.4939
ONI28332-ONI08999,2.4122
ONI28332-ONH94181,3.7694
ONI28332-ONI02240,4.7702
ONI28332-ONI19233,5.4203
ONI28332-ONI00156,4.433
ONI28332-ONI33936,4.5215
ONI28332-ONI02010,3.7987
ONI28332-ONI18543,2.7238
ONI28332-ONH89832,4.4816
ONI28332-ONI27715,2.6318
ONI28332-ONI16070,4.477
ONI28332-ONI19226,2.7408
ONI28332-ONI24232,4.5056
ONI28332-ONI18885,2.8929
ONI28332-ONI05194,1.6895
ONI28332-ONI22888,4.5074
ONI28332-ONI04225,2.284
ONI28332-ONI20060,2.6723
ONI28332-ONI29870,3.6609
ONI28332-ONI10744,4.4822
ONI28332-ONI26284,2.8659
ONI28332-ONH97838,4.5118
ONI28332-ONI24744,2.9919
ONI28332-ONI18127,2.9898
ONI28332-ONI10516,4.4888
ONI28332-ONH89643,2.7859
ONI28332-ONH96168,4.4891
ONI28332-ONI04721,2.2981
ONI28332-ONI09895,2.2849
ONI28332-ONH89667,2.6788
ONI28332-ONI25090,4.3094
ONI28332-ONI30726,1.6211
ONI28332-ONI27137,4.4695
ONI28332-ONI29728,1.8641
ONI28332-ONI35714,4.3787
ONI28332-ONH96536,4.4409
ONI28332-ONI34983,4.4078
ONI28332-ONI22333,4.4415
ONI28332-ONH96513,2.6285
ONI28332-ONI30433,4.0673
ONH95022-ONI26822,3.0441
ONH95022-ONI02697,2.4598
ONH95022-ONI10925,2.3949
ONH95022-ONH96035,2.9203
ONH95022-ONI18700,2.3999
ONH95022-ONI29058,4.5199
ONH95022-ONI06014,4.5183
ONH95022-ONI00160,4.4235
ONH95022-ONH99244,1.5817
ONH95022-ONI11309,4.5212
ONH95022-ONI32305,4.5525
ONH95022-ONI09643,4.5379
ONH95022-ONH95363,2.3773
ONH95022-ONI17055,1.8251
ONH95022-ONI17510,3.0253
ONH95022-ONI11044,2.3974
ONH95022-ONH95429,2.2559
ONH95022-ONI30926,2.0595
ONH95022-ONI26865,4.4783
ONH95022-ONI20050,2.1367
ONH95022-ONI04921,2.9716
ONH95022-ONH94307,4.4485
ONH95022-ONI12073,2.1005
ONH95022-ONH92574,2.3397
ONH95022-ONI01448,2.0984
ONH95022-ONI25472,4.5065
ONH95022-ONI20524,4.5559
ONH95022-ONH98763,3.4708
ONH95022-ONH89632,4.5423
ONH95022-ONI35771,2.5198
ONH95022-ONI16883,2.6108
ONH95022-ONI03115,4.5737
ONH95022-ONI01193,4.599
ONH95022-ONH98211,1.8677
ONH95022-ONH96339,2.9862
ONH95022-ONH97837,4.536
ONH95022-ONH96891,2.4432
ONH95022-ONI19701,1.7768
ONH95022-ONI19129,1.9648
ONH95022-ONI11923,2.1178
ONH95022-ONH92343,2.0911
ONH95022-ONI14197,2.9136
ONH95022-ONI08253,2.348
ONH95022-ONH89725,4.5267
ONH95022-ONI22031,3.3275
ONH95022-ONH92510,2.9021
ONH95022-ONI17874,4.5687
ONH95022-ONH96390,4.8005
ONH95022-ONI08659,1.8959
ONH95022-ONI07181,1.908
ONH95022-ONI34876,3.7389
ONH95022-ONI11936,4.5735
ONH95022-ONI08378,1.5494
ONH95022-ONI30925,2.0113
ONH95022-ONI04516,2.6999
ONH95022-ONI17179,1.9168
ONH95022-ONI23179,4.2458
ONH95022-ONI26052,1.9454
ONH95022-ONH96625,1.869
ONH95022-ONI08665,2.7039
ONH95022-ONH93475,2.2352
ONH95022-ONH96897,2.3318
ONH95022-ONI19087,1.8286
ONH95022-ONI32985,1.9955
ONH95022-ONH94185,2.8479
ONH95022-ONI02303,3.4774
ONH95022-ONH91625,2.4658
ONH95022-ONI09527,2.4297
ONH95022-ONI25428,2.8336
ONH95022-ONI09497,2.3288
ONH95022-ONI29838,4.4382
ONH95022-ONI20969,2.6443
ONH95022-ONI21063,2.5766
ONH95022-ONI33045,2.6481
ONH95022-ONI35496,1.831
ONH95022-ONI26704,2.2096
ONH95022-ONI05188,4.5049
ONH95022-ONI08999,2.1373
ONH95022-ONH94181,2.6527
ONH95022-ONI02240,2.233
ONH95022-ONI19233,3.9858
ONH95022-ONI00156,2.1378
ONH95022-ONI33936,2.2978
ONH95022-ONI02010,4.5736
ONH95022-ONI18543,2.9476
ONH95022-ONH89832,2.483
ONH95022-ONI27715,2.1146
ONH95022-ONI16070,2.5641
ONH95022-ONI19226,3.529
ONH95022-ONI24232,4.5683
ONH95022-ONI18885,2.4541
ONH95022-ONI05194,2.2119
ONH95022-ONI22888,1.9968
ONH95022-ONI04225,2.3167
ONH95022-ONI20060,3.0999
ONH95022-ONI29870,3.3175
ONH95022-ONI10744,4.5914
ONH95022-ONI26284,3.5491
ONH95022-ONH97838,4.6
ONH95022-ONI24744,2.6087
ONH95022-ONI18127,4.5523
ONH95022-ONI10516,3.0389
ONH95022-ONH89643,4.4414
ONH95022-ONH96168,3.0822
ONH95022-ONI04721,2.0845
ONH95022-ONI09895,2.5884
ONH95022-ONH89667,4.5204
ONH95022-ONI25090,4.3992
ONH95022-ONI30726,2.7045
ONH95022-ONI27137,2.6892
ONH95022-ONI29728,4.5616
ONH95022-ONI35714,4.5628
ONH95022-ONH96536,2.6151
ONH95022-ONI34983,4.4986
ONH95022-ONI22333,2.4994
ONH95022-ONH96513,4.5974
ONH95022-ONI30433,4.8616
ONI26822-ONI02697,4.0342
ONI26822-ONI10925,1.929
ONI26822-ONH96035,4.4662
ONI26822-ONI18700,1.8204
ONI26822-ONI29058,3.3916
ONI26822-ONI06014,4.4077
ONI26822-ONI00160,2.7478
ONI26822-ONH99244,2.6756
ONI26822-ONI11309,4.4098
ONI26822-ONI32305,2.4451
ONI26822-ONI09643,4.4444
ONI26822-ONH95363,2.2512
ONI26822-ONI17055,4.3532
ONI26822-ONI17510,1.6637
ONI26822-ONI11044,4.3927
ONI26822-ONH95429,1.9596
ONI26822-ONI30926,1.9069
ONI26822-ONI26865,3.3686
ONI26822-ONI20050,2.2825
ONI26822-ONI04921,4.5097
ONI26822-ONH94307,2.0069
ONI26822-ONI12073,4.4539
ONI26822-ONH92574,3.1337
ONI26822-ONI01448,3.3213
ONI26822-ONI25472,2.4166
ONI26822-ONI20524,4.48
ONI26822-ONH98763,4.487
ONI26822-ONH89632,4.4838
ONI26822-ONI35771,4.4707
ONI26822-ONI16883,4.5061
ONI26822-ONI03115,4.4512
ONI26822-ONI01193,4.457
ONI26822-ONH98211,2.5904
ONI26822-ONH96339,5.0443
ONI26822-ONH97837,4.4736
ONI26822-ONH96891,1.7277
ONI26822-ONI19701,4.4568
ONI26822-ONI19129,2.1898
ONI26822-ONI11923,4.4654
ONI26822-ONH92343,4.4846
ONI26822-ONI14197,2.6091
ONI26822-ONI08253,1.5868
ONI26822-ONH89725,4.4905
ONI26822-ONI22031,1.7784
ONI26822-ONH92510,4.477
ONI26822-ONI17874,1.6763
ONI26822-ONH96390,3.3463
ONI26822-ONI08659,2.4264
ONI26822-ONI07181,4.3886
ONI26822-ONI34876,2.3852
ONI26822-ONI11936,4.4676
ONI26822-ONI08378,4.9297
ONI26822-ONI30925,2.2917
ONI26822-ONI04516,4.3918
ONI26822-ONI17179,3.1813
ONI26822-ONI23179,2.0102
ONI26822-ONI26052,2.2105
ONI26822-ONH96625,2.5239
ONI26822-ONI08665,3.1858
ONI26822-ONH93475,4.4605
ONI26822-ONH96897,4.0539
ONI26822-ONI19087,1.9618
ONI26822-ONI32985,4.4084
ONI26822-ONH94185,4.4846
ONI26822-ONI02303,2.5986
ONI26822-ONH91625,4.4579
ONI26822-ONI09527,1.9535
ONI26822-ONI25428,1.8662
ONI26822-ONI09497,4.4685
ONI26822-ONI29838,2.8393
ONI26822-ONI20969,2.137
ONI26822-ONI21063,4.306
ONI26822-ONI33045,4.4146
ONI26822-ONI35496,1.9359
ONI26822-ONI26704,2.4194
ONI26822-ONI05188,3.2919
ONI26822-ONI08999,4.4797
ONI26822-ONH94181,4.4752
ONI26822-ONI02240,4.4678
ONI26822-ONI19233,3.8451
ONI26822-ONI00156,4.1042
ONI26822-ONI33936,3.6248
ONI26822-ONI02010,2.4594
ONI26822-ONI18543,4.5025
ONI26822-ONH89832,2.8997
ONI26822-ONI27715,4.4697
ONI26822-ONI16070,4.4616
ONI26822-ONI19226,2.2432
ONI26822-ONI24232,2.6943
ONI26822-ONI18885,4.4909
ONI26822-ONI05194,1.7765
ONI26822-ONI22888,4.4917
ONI26822-ONI04225,4.4305
ONI26822-ONI20060,2.2045
ONI26822-ONI29870,2.0815
ONI26822-ONI10744,4.484
ONI26822-ONI26284,2.6053
ONI26822-ONH97838,4.4875
ONI26822-ONI24744,4.4823
ONI26822-ONI18127,4.5109
ONI26822-ONI10516,4.4792
ONI26822-ONH89643,4.493
ONI26822-ONH96168,3.3126
ONI26822-ONI04721,4.463
ONI26822-ONI09895,2.0723
ONI26822-ONH89667,4.4734
ONI26822-ONI25090,1.6069
ONI26822-ONI30726,2.0707
ONI26822-ONI27137,4.107
ONI26822-ONI29728,2.7885
ONI26822-ONI35714,4.4238
ONI26822-ONH96536,4.4302
ONI26822-ONI34983,4.4211
ONI26822-ONI22333,2.2032
ONI26822-ONH96513,3.3981
ONI26822-ONI30433,2.6572
ONI02697-ONH96035,2.1241
ONI02697-ONI18700,4.5107
ONI02697-ONI29058,2.8226
ONI02697-ONI06014,3.5523
ONI02697-ONI00160,1.9813
ONI02697-ONH99244,2.5407
ONI02697-ONI11309,2.1566
ONI02697-ONI32305,2.5228
ONI02697-ONI09643,4.5328
ONI02697-ONH95363,2.4007
ONI02697-ONI17055,2.4786
ONI02697-ONI17510,1.9076
ONI02697-ONI11044,1.8381
ONI02697-ONH95429,2.2893
ONI02697-ONI30926,1.6073
ONI02697-ONI26865,2.047
ONI02697-ONI20050,1.7273
ONI02697-ONI04921,2.1799
ONI02697-ONH94307,4.5042
ONI02697-ONI12073,1.8728
ONI02697-ONH92574,3.0722
ONI02697-ONI01448,2.9951
ONI02697-ONI25472,1.952
ONI02697-ONI20524,4.5771
ONI02697-ONH98763,1.9836
ONI02697-ONH89632,2.7495
ONI02697-ONI35771,4.5734
ONI02697-ONI16883,2.6964
ONI02697-ONI03115,4.5904
ONI02697-ONI01193,2.3616
ONI02697-ONH98211,1.6974
ONI02697-ONH96339,2.8226
ONI02697-ONH97837,2.23
ONI02697-ONH96891,2.1823
ONI02697-ONI19701,3.3989
ONI02697-ONI19129,2.5721
ONI02697-ONI11923,2.2078
ONI02697-ONH92343,2.7093
ONI02697-ONI14197,2.1625
ONI02697-ONI08253,2.1473
ONI02697-ONH89725,3.0845
ONI02697-ONI22031,4.6398
ONI02697-ONH92510,1.7757
ONI02697-ONI17874,1.7311
ONI02697-ONH96390,2.9529
ONI02697-ONI08659,4.4727
ONI02697-ONI07181,1.6352
ONI02697-ONI34876,2.2697
ONI02697-ONI11936,3.4345
ONI02697-ONI08378,1.7353
ONI02697-ONI30925,2.0115
ONI02697-ONI04516,2.0305
ONI02697-ONI17179,2.6124
ONI02697-ONI23179,3.1336
ONI02697-ONI26052,3.8169
ONI02697-ONH96625,4.5127
ONI02697-ONI08665,4.6451
ONI02697-ONH93475,1.8658
ONI02697-ONH96897,1.6879
ONI02697-ONI19087,1.8729
ONI02697-ONI32985,1.9143
ONI02697-ONH94185,4.5578
ONI02697-ONI02303,3.2837
ONI02697-ONH91625,2.4318
ONI02697-ONI09527,2.7178
ONI02697-ONI25428,2.6237
ONI02697-ONI09497,2.1062
ONI02697-ONI29838,2.3811
ONI02697-ONI20969,1.7482
ONI02697-ONI21063,1.6826
ONI02697-ONI33045,2.287
ONI02697-ONI35496,3.386
ONI02697-ONI26704,1.8567
ONI02697-ONI05188,1.7664
ONI02697-ONI08999,2.1302
ONI02697-ONH94181,2.8478
ONI02697-ONI02240,3.5837
ONI02697-ONI19233,2.7405
ONI02697-ONI00156,2.7567
ONI02697-ONI33936,2.6953
ONI02697-ONI02010,4.6562
ONI02697-ONI18543,2.5557
ONI02697-ONH89832,2.3885
ONI02697-ONI27715,2.559
ONI02697-ONI16070,2.2272
ONI02697-ONI19226,2.8888
ONI02697-ONI24232,1.7745
ONI02697-ONI18885,1.5943
ONI02697-ONI05194,2.6718
ONI02697-ONI22888,3.2682
ONI02697-ONI04225,2.7619
ONI02697-ONI20060,2.8128
ONI02697-ONI29870,2.0538
ONI02697-ONI10744,2.884
ONI02697-ONI26284,5.4966
ONI02697-ONH97838,4.6355
ONI02697-ONI24744,2.1787
ONI02697-ONI18127,4.6347
ONI02697-ONI10516,2.2349
ONI02697-ONH89643,4.5398
ONI02697-ONH96168,4.5497
ONI02697-ONI04721,2.524
ONI02697-ONI09895,1.6709
ONI02697-ONH89667,2.3779
ONI02697-ONI25090,2.497
ONI02697-ONI30726,2.0537
ONI02697-ONI27137,3.3553
ONI02697-ONI29728,4.5482
ONI02697-ONI35714,2.4205
ONI02697-ONH96536,2.4955
ONI02697-ONI34983,1.8662
ONI02697-ONI22333,1.7423
ONI02697-ONH96513,4.5762
ONI02697-ONI30433,3.0932
ONI10925-ONH96035,2.6736
ONI10925-ONI29058,2.2814
ONI10925-ONI06014,2.5666
ONI10925-ONI00160,2.1252
ONI10925-ONH99244,2.1159
ONI10925-ONI11309,2.175
ONI10925-ONI32305,2.4463
ONI10925-ONI09643,4.4338
ONI10925-ONH95363,1.9087
ONI10925-ONI17055,2.3068
ONI10925-ONI17510,2.8571
ONI10925-ONI11044,1.7254
ONI10925-ONH95429,4.4724
ONI10925-ONI30926,2.1093
ONI10925-ONI26865,1.7645
ONI10925-ONI20050,1.9813
ONI10925-ONI04921,2.3105
ONI10925-ONH94307,2.633
ONI10925-ONI12073,1.8614
ONI10925-ONH92574,2.7461
ONI10925-ONI01448,2.6528
ONI10925-ONI25472,2.0719
ONI10925-ONI20524,3.0201
ONI10925-ONH98763,2.3968
ONI10925-ONH89632,1.8867
ONI10925-ONI35771,2.1958
ONI10925-ONI16883,1.9751
ONI10925-ONI03115,2.4989
ONI10925-ONI01193,3.8376
ONI10925-ONH98211,2.6896
ONI10925-ONH96339,2.2167
ONI10925-ONH97837,2.1458
ONI10925-ONH96891,2.1583
ONI10925-ONI19701,1.8686
ONI10925-ONI19129,2.3623
ONI10925-ONI11923,4.046
ONI10925-ONH92343,1.7608
ONI10925-ONI14197,2.5617
ONI10925-ONI08253,2.3108
ONI10925-ONH89725,2.1176
ONI10925-ONI22031,4.4805
ONI10925-ONH92510,1.9039
ONI10925-ONI17874,3.9991
ONI10925-ONH96390,4.5293
ONI10925-ONI08659,2.8901
ONI10925-ONI07181,2.083
ONI10925-ONI34876,2.4781
ONI10925-ONI11936,2.6923
ONI10925-ONI08378,2.5937
ONI10925-ONI30925,1.7321
ONI10925-ONI04516,2.5633
ONI10925-ONI17179,2.7217
ONI10925-ONI23179,1.9327
ONI10925-ONI26052,1.9845
ONI10925-ONH96625,2.8896
ONI10925-ONI08665,4.497
ONI10925-ONH93475,4.5266
ONI10925-ONH96897,4.5346
ONI10925-ONI19087,2.1303
ONI10925-ONI32985,3.2129
ONI10925-ONH94185,4.5288
ONI10925-ONI02303,2.1029
ONI10925-ONH91625,2.5243
ONI10925-ONI09527,2.3949
ONI10925-ONI25428,2.7041
ONI10925-ONI09497,1.9393
ONI10925-ONI29838,2.148
ONI10925-ONI20969,2.0159
ONI10925-ONI21063,4.5166
ONI10925-ONI33045,4.6804
ONI10925-ONI35496,4.4857
ONI10925-ONI26704,1.9506
ONI10925-ONI05188,2.2324
ONI10925-ONI08999,2.0458
ONI10925-ONH94181,4.5381
ONI10925-ONI02240,4.5032
ONI10925-ONI19233,1.5726
ONI10925-ONI00156,2.3865
ONI10925-ONI33936,3.1284
ONI10925-ONI02010,2.6045
ONI10925-ONI18543,1.8287
ONI10925-ONH89832,4.517
ONI10925-ONI27715,2.9521
ONI10925-ONI16070,2.2197
ONI10925-ONI19226,2.6733
ONI10925-ONI24232,4.501
ONI10925-ONI18885,1.7399
ONI10925-ONI05194,2.2661
ONI10925-ONI22888,2.4044
ONI10925-ONI04225,1.99
ONI10925-ONI20060,2.184
ONI10925-ONI29870,2.0607
ONI10925-ONI10744,2.8724
ONI10925-ONI26284,1.6912
ONI10925-ONH97838,2.0072
ONI10925-ONI24744,3.1637
ONI10925-ONI18127,3.1695
ONI10925-ONI10516,4.503
ONI10925-ONH89643,2.4788
ONI10925-ONH96168,1.9303
ONI10925-ONI04721,1.8861
ONI10925-ONI09895,1.9307
ONI10925-ONH89667,2.1247
ONI10925-ONI25090,2.3676
ONI10925-ONI30726,1.9522
ONI10925-ONI27137,1.8594
ONI10925-ONI29728,3.7542
ONI10925-ONI35714,2.1323
ONI10925-ONH96536,2.032
ONI10925-ONI34983,3.3794
ONI10925-ONI22333,2.0681
ONI10925-ONH96513,2.5913
ONI10925-ONI30433,2.6241
ONH96035-ONI18700,2.4658
ONH96035-ONI29058,4.3114
ONH96035-ONI06014,4.4027
ONH96035-ONI00160,4.2818
ONH96035-ONH99244,3.8372
ONH96035-ONI11309,4.4165
ONH96035-ONI32305,4.446
ONH96035-ONI09643,4.4463
ONH96035-ONH95363,3.548
ONH96035-ONI17055,3.0205
ONH96035-ONI17510,1.663
ONH96035-ONI11044,4.3298
ONH96035-ONH95429,4.4366
ONH96035-ONI30926,1.7993
ONH96035-ONI26865,3.0557
ONH96035-ONI20050,3.6603
ONH96035-ONI04921,2.6986
ONH96035-ONH94307,4.3715
ONH96035-ONI12073,2.3477
ONH96035-ONH92574,4.4677
ONH96035-ONI01448,4.3634
ONH96035-ONI25472,3.4565
ONH96035-ONI20524,4.4472
ONH96035-ONH98763,3.0205
ONH96035-ONH89632,2.4011
ONH96035-ONI35771,4.4629
ONH96035-ONI16883,2.938
ONH96035-ONI03115,4.306
ONH96035-ONI01193,2.6668
ONH96035-ONH98211,4.4172
ONH96035-ONH96339,4.4877
ONH96035-ONH97837,4.3035
ONH96035-ONH96891,3.0331
ONH96035-ONI19701,4.3592
ONH96035-ONI19129,2.3602
ONH96035-ONI11923,3.0111
ONH96035-ONH92343,2.7939
ONH96035-ONI14197,2.523
ONH96035-ONI08253,3.411
ONH96035-ONH89725,4.4101
ONH96035-ONI22031,2.3928
ONH96035-ONH92510,2.4023
ONH96035-ONI17874,3.6922
ONH96035-ONH96390,4.356
ONH96035-ONI08659,5.6373
ONH96035-ONI07181,2.5923
ONH96035-ONI34876,2.4789
ONH96035-ONI11936,4.4173
ONH96035-ONI08378,3.786
ONH96035-ONI30925,3.0446
ONH96035-ONI04516,2.1323
ONH96035-ONI17179,2.7977
ONH96035-ONI23179,3.5041
ONH96035-ONI26052,4.4366
ONH96035-ONH96625,2.6333
ONH96035-ONI08665,4.4241
ONH96035-ONH93475,4.4111
ONH96035-ONH96897,1.9355
ONH96035-ONI19087,2.2842
ONH96035-ONI32985,3.238
ONH96035-ONH94185,3.3874
ONH96035-ONI02303,2.1117
ONH96035-ONH91625,4.4395
ONH96035-ONI09527,4.4462
ONH96035-ONI25428,2.3471
ONH96035-ONI09497,4.4574
ONH96035-ONI29838,2.3791
ONH96035-ONI20969,4.3225
ONH96035-ONI21063,4.4591
ONH96035-ONI33045,3.7035
ONH96035-ONI35496,2.1838
ONH96035-ONI26704,2.8808
ONH96035-ONI05188,4.448
ONH96035-ONI08999,4.4635
ONH96035-ONH94181,4.4257
ONH96035-ONI02240,4.4543
ONH96035-ONI19233,4.4569
ONH96035-ONI00156,4.3801
ONH96035-ONI33936,3.6042
ONH96035-ONI02010,4.4519
ONH96035-ONI18543,3.6122
ONH96035-ONH89832,4.3901
ONH96035-ONI27715,4.46
ONH96035-ONI16070,2.7407
ONH96035-ONI19226,2.1591
ONH96035-ONI24232,4.4753
ONH96035-ONI18885,2.2199
ONH96035-ONI05194,2.8421
ONH96035-ONI22888,4.4494
ONH96035-ONI04225,4.3461
ONH96035-ONI20060,4.4709
ONH96035-ONI29870,4.47
ONH96035-ONI10744,2.1139
ONH96035-ONI26284,2.3119
ONH96035-ONH97838,4.4758
ONH96035-ONI24744,4.369
ONH96035-ONI18127,4.4685
ONH96035-ONI10516,4.4362
ONH96035-ONH89643,3.3805
ONH96035-ONH96168,2.7412
ONH96035-ONI04721,4.5224
ONH96035-ONI09895,1.9933
ONH96035-ONH89667,2.0579
ONH96035-ONI25090,1.8334
ONH96035-ONI30726,2.2353
ONH96035-ONI27137,4.4198
ONH96035-ONI29728,4.5168
ONH96035-ONI35714,4.327
ONH96035-ONH96536,4.4483
ONH96035-ONI34983,4.4106
ONH96035-ONI22333,4.4257
ONH96035-ONH96513,4.4814
ONH96035-ONI30433,4.4919
ONI18700-ONI29058,4.5133
ONI18700-ONI06014,4.5007
ONI18700-ONI00160,4.3968
ONI18700-ONH99244,1.8588
ONI18700-ONI11309,4.2602
ONI18700-ONI32305,4.4369
ONI18700-ONI09643,4.4025
ONI18700-ONH95363,4.4822
ONI18700-ONI17055,4.5052
ONI18700-ONI17510,2.0361
ONI18700-ONI11044,2.1857
ONI18700-ONH95429,4.3088
ONI18700-ONI30926,2.6165
ONI18700-ONI26865,4.4407
ONI18700-ONI20050,4.4396
ONI18700-ONI04921,4.5401
ONI18700-ONH94307,2.0021
